	ensg	gene_name_v99	ensg_v99
2083	ENSG00000162614	NEXN	ENSG00000162614.18
2090	ENSG00000162627	SNX7	ENSG00000162627.17
2093	ENSG00000162645	GBP2	ENSG00000162645.13
2100	ENSG00000162694	EXTL2	ENSG00000162694.14
2112	ENSG00000174021	GNG5	ENSG00000174021.11
2494	ENSG00000007341	ST7L	ENSG00000007341.19
2495	ENSG00000009307	CSDE1	ENSG00000009307.16
2502	ENSG00000081019	RSBN1	ENSG00000081019.13
2504	ENSG00000085433	WDR47	ENSG00000085433.15
2508	ENSG00000092621	PHGDH	ENSG00000092621.12
2513	ENSG00000116455	WDR77	ENSG00000116455.14
2515	ENSG00000116473	RAP1A	ENSG00000116473.14
2519	ENSG00000116774	OLFML3	ENSG00000116774.12
2525	ENSG00000116882	HAO2	ENSG00000116882.14
2557	ENSG00000134253	TRIM45	ENSG00000134253.10
2565	ENSG00000143067	ZNF697	ENSG00000143067.5
2573	ENSG00000143125	PROK1	ENSG00000143125.6
2585	ENSG00000162636	FAM102B	ENSG00000162636.16
2596	ENSG00000168679	SLC16A4	ENSG00000168679.18
2599	ENSG00000171385	KCND3	ENSG00000171385.9
2614	ENSG00000181754	AMIGO1	ENSG00000181754.7
2621	ENSG00000186364	NUDT17	ENSG00000186364.12
2640	ENSG00000198890	PRMT6	ENSG00000198890.9
2684	ENSG00000221986	MYBPHL	ENSG00000221986.7
3015	ENSG00000132718	SYT11	ENSG00000132718.9
3028	ENSG00000143384	MCL1	ENSG00000143384.13
3039	ENSG00000143434	SEMA6C	ENSG00000143434.15
3040	ENSG00000143436	MRPL9	ENSG00000143436.11
3041	ENSG00000143437	ARNT	ENSG00000143437.21
3051	ENSG00000143537	ADAM15	ENSG00000143537.13
3054	ENSG00000143546	S100A8	ENSG00000143546.10
3057	ENSG00000143553	SNAPIN	ENSG00000143553.11
3066	ENSG00000143603	KCNN3	ENSG00000143603.19
3070	ENSG00000143622	RIT1	ENSG00000143622.11
3074	ENSG00000143631	FLG	ENSG00000143631.11
3077	ENSG00000159208	CIART	ENSG00000159208.16
